City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
671,Black River,JM,87.98,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
672,Ratnagiri,IN,79.05,overcast clouds,16.9833,73.3,Hotel Landmark
674,Pombas,CV,74.98,scattered clouds,17.1503,-25.0201,Paul Paradis
677,Tautira,PF,80.01,few clouds,-17.7333,-149.15,Pension Oaoa
680,Matagami,CA,71.71,broken clouds,49.7502,-77.6328,Hôtel Matagami
681,Salamiyah,SY,75.81,few clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
683,Bira,RU,71.06,overcast clouds,49.0,132.4667,Gostitsa Edel'veys
689,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
691,Dandong,CN,71.51,few clouds,40.1292,124.3947,Yiranju Farmstay
692,Partenit,UA,71.64,clear sky,44.578,34.3446,Приватотель
694,Corinth,GR,80.69,few clouds,37.9407,22.9573,Ephira Hotel
695,Elizabeth City,US,86.0,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
696,Harper,LR,76.51,overcast clouds,4.375,-7.7169,Screensaver
