City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Moose Jaw,CA,2021-07-22 04:50:32,50.4001,-105.5344,296.29,83,13,3.6
232,Namibe,AO,2021-07-22 04:51:23,-15.1961,12.1522,291.62,71,0,1.27
233,Te Anau,NZ,2021-07-22 04:51:23,-45.4167,167.7167,279.49,88,44,1.31
234,Rovaniemi,FI,2021-07-22 04:51:24,66.5,25.7167,284.82,87,0,2.57
235,Roald,NO,2021-07-22 04:51:24,62.5833,6.1333,287.23,82,75,5.66
236,Salinas,US,2021-07-22 04:50:26,36.6777,-121.6555,290.6,78,1,5.66
237,Xunchang,CN,2021-07-22 04:51:25,28.4543,104.715,304.32,66,71,1.23
238,Weligama,LK,2021-07-22 04:51:25,5.9667,80.4167,300.34,85,100,6.64
239,Cherskiy,RU,2021-07-22 04:51:26,68.75,161.3,291.14,51,86,2.0
240,San Rafael,AR,2021-07-22 04:47:06,-34.6177,-68.3301,284.63,30,100,1.17
241,Laguna,US,2021-07-22 04:51:27,38.421,-121.4238,303.43,43,1,3.09
242,Vardo,NO,2021-07-22 04:51:27,70.3705,31.1107,280.26,80,100,6.95
243,Narsaq,GL,2021-07-22 04:51:27,60.9167,-46.05,278.92,94,54,1.97
244,Agadir,MA,2021-07-22 04:51:28,30.4202,-9.5982,292.4,68,4,2.1
245,Qeshm,IR,2021-07-22 04:51:28,26.9581,56.2719,309.08,75,0,3.39
246,Adrar,MR,2021-07-22 04:51:29,20.5022,-10.0711,300.27,16,61,4.82
247,Santa Rosa Del Sur,CO,2021-07-22 04:51:29,7.9644,-74.0544,295.07,86,59,1.14
248,Lebu,CL,2021-07-22 04:51:29,-37.6167,-73.65,283.21,91,100,1.76
249,Datong,CN,2021-07-22 04:51:30,40.0936,113.2914,298.66,57,98,4.94
250,Central Point,US,2021-07-22 04:51:30,42.376,-122.9164,296.22,35,1,4.12
251,Yarmouth,US,2021-07-22 04:51:30,41.7057,-70.2286,295.23,84,40,7.6
252,Vasilyevskiy Mokh,RU,2021-07-22 04:51:31,57.0132,35.919,286.97,49,1,4.25
253,Nipawin,CA,2021-07-22 04:51:31,53.3668,-104.0009,293.17,100,1,1.54
254,Salinopolis,BR,2021-07-22 04:51:31,-0.6136,-47.3561,298.37,87,16,3.86
255,Boa Vista,BR,2021-07-22 04:51:32,2.8197,-60.6733,299.14,83,90,1.54
256,Spring Valley,US,2021-07-22 04:51:32,36.108,-115.245,308.62,31,75,1.54
257,Katherine,AU,2021-07-22 04:51:32,-14.4667,132.2667,306.33,11,88,2.57
258,Vadso,NO,2021-07-22 04:51:33,70.0744,29.7487,281.64,87,75,7.2
259,Quatre Cocos,MU,2021-07-22 04:51:33,-20.2078,57.7625,295.98,62,78,7.35
260,Porto Tolle,IT,2021-07-22 04:51:33,44.9497,12.3245,298.16,67,92,3.33
261,Saldanha,ZA,2021-07-22 04:51:34,-33.0117,17.9442,277.18,64,61,5.67
262,Qostanay,KZ,2021-07-22 04:47:03,53.1667,63.5833,300.31,54,0,1.0
263,Guanare,VE,2021-07-22 04:51:34,9.0418,-69.7421,297.16,100,76,2.06
264,Yeysk,RU,2021-07-22 04:51:35,46.6989,38.2792,297.63,76,11,3.81
265,Atbasar,KZ,2021-07-22 04:51:35,51.8,68.3333,299.48,36,1,3.0
266,Batemans Bay,AU,2021-07-22 04:51:35,-35.7167,150.1833,288.81,45,38,4.13
267,Tura,IN,2021-07-22 04:51:36,25.5198,90.2201,304.27,68,87,0.3
268,Faanui,PF,2021-07-22 04:51:36,-16.4833,-151.75,299.23,77,14,7.34
269,Mirnyy,RU,2021-07-22 04:51:36,62.5353,113.9611,298.21,34,48,2.35
270,Saint-Philippe,RE,2021-07-22 04:51:37,-21.3585,55.7679,294.92,73,47,5.94
271,Codrington,AU,2021-07-22 04:51:37,-38.2667,141.9667,283.61,68,100,7.01
272,Saint-Pierre,RE,2021-07-22 04:51:37,-21.3393,55.4781,294.97,58,0,1.54
273,Vila Franca Do Campo,PT,2021-07-22 04:51:38,37.7167,-25.4333,292.38,82,86,2.91
274,Leningradskiy,RU,2021-07-22 04:51:38,69.3833,178.4167,277.32,74,100,2.19
275,Port Hedland,AU,2021-07-22 04:51:38,-20.3167,118.5667,305.18,33,9,3.09
276,Odienne,CI,2021-07-22 04:51:39,9.51,-7.5692,293.99,96,17,1.19
